編號,Pazeh,華語,頁碼
1,dahilen nimisiw,(我) 被 他 嚇 到 了 !,4
2,masidadahil,"驚訝 , 嚇 到",4
3,maasidadahil,互相 驚嚇,4
4,midadihil yamisiw aku,我 嚇唬 他 們,4
5,ana midahin,別怕,4
6,maideh a muzakay,走 得 快,4
7,maideh dalum,水 流 湍 急,4
8,imisiw ka maideh mitalam,你 跑 得 快,4
9,imisiw muzakay ka maideh,他 走 得 快,4
10,imini a rangasat ka naki a aideman,此 床 是 我 睡 的 地 方,4
11,midem lia ki rakihan,小 孩 睡 了,4
12,maidemay lia,就 要 睡 了,4
13,maidem lia ki rakihan,小 孩 在 睡,4
14,liaka paidemen di bayu,然後 讓 你 睡 在 水 旁,4
15,haideng a buxu,懷孕,4
16,"liaka puzah adang a rubang mamais, nahani miliw dalum.",然後 一 個 姑娘 來 挑 水,4
17,ima ki maideh?,誰 快,4
18,ima ka nisiw a rakihan?,誰 是 你 的 小 孩,4
19,"ima, ima mamaleng ka magizem dadua.",看 哪 一 個 少年 最 強壯,4
20,haiki ima pai misiw?,他 好 像 像 誰,4
21,ima ka minututing isiw?,誰 打 了 你,4
22,isiw ka mikita ima di binayu?,你 在 山 裡 看 到 誰,4
23,mikita ima pai siw?,你 看 到 誰,4
24,ima pai yamisiw?,那 些 是 誰,4
25,mia’ima ki uzay nisiw a rakihan?,哪 一 個 不 是 你 的 小 孩,4
26,nima ki umamah?,這 是 誰 的 田,4
27,dua nima xuma pai mini?,這 是 誰 的 ( 指 多 數 人 的 ),4
28,minima a daxe?,誰 的 (多 數 ) 十 地,4
29,minataxubilih,本 來 要 回 去,4
30,imini ka minah aunu nisiw,這 個 以 後 再 給 你,4
31,zakay minah lai yasia,他 們 在 走 (路 ),5
32,"zakay minah, makamasakelay xamaxam lai yasia","他 們 在 走 , 將 到 時 他 們 摸 一 摸",5
33,puzah minang lia ku,我 再 來 一 次 了,5
34,alu paxuruma aingaingar,來種各種蔬菜水果,5
35,ini mukusa aku,我沒去,5
36,ini mausay aku,我 不 想 去,5
37,ini padauxen inusat ni Kalagu ki Atun,Kalagu 沒 有 叫 (敬) Atun 喝 酒,5
38,ini pinatalekan naki a maxiasu ki rumut ni taupungu,老闆沒有叫我媳婦煮肉,5
39,Watan ini meken alaw.,Watan 沒 吃 魚,5
40,yaku ini mudaux dalum.,我 不 喝 水,5
41,Itih ka mikadeng ka ini mupuzah.,Itih 生 病 沒 來,5
42,inima’a’aisiyay,"異樣 , 不 相 同",5
43,ini maakariak,不 和睦 (ini maakariak a saw 敵人.仇人),5
44,ini xadu mupuzah dini imisiw,他 不 常 來 這 裡,
45,maisat rakihan ki ina.,母親 罵 小 孩,5
46,yaku ini maisat imisiw.,我沒罵他,5
47,maisat lia ki Aba kaibabaw.,天父 (上 帝) 生氣 了,5
48,"maisat Baxala siw ka, maikixiay nimisiw a ina","如果你罵Baxala, 我 就 告訴 他 媽媽",5
49,isia liaka ini mikita lia ka Awi.,那 時 她 瞧不起 Awi,5
50,isia rezaw mupuzah mikita yaku misiw,他 時 常 來 見 我,5
51,isiarezaw mupuzah dini imisiw.,他 常 來 這,5
52,isia rezaw mukusa imisiwan.,常 去 他 處,5
53,isia rezaw puzah yakuan.,常 來 我 處,5
54,imisiw a saw ka isia rezaw daadaux tamaku.,那 人 總 是 在 抽煙,5
55,isid uxasebidusa,十 七,5
56,isid u xasebisupat,十 九,5
57,isit a xaseb a turu,十八 (年) 了,5
58,maita kusu,捉 虱 子,5
59,"rakihan ka, bauriak binayu, iu raribu di ituk babaw","小 孩 在 堆 山 垢 , 並 在 頂端 構筑 圍 牆",5
60,"mitul, mamaleng ka mukusa mapa anu mamais","站 起 來 , 男 人 就 去 揹 女 的",5
61,rubang mamais mitul lia,女 孩子 站 起 來 了,5
62,mitul di babaw lia taukua maakawas,長 官 站 在 上 面 講話 了,6
63,kaaken dukul iu baabaket wazu ki rakihan,小孩又吃芋又打狗,6
64,Xauxiiu Daii mupuzah lia.,Xauxi 和 Daii 來 了,6
65,yaku mikita wazu mataru iu baget,我看見的狗又大又胖,6
66,Kalayu iu Kaidan ka takulangadaw nita!,Kalayu 和 Kaidan (商量): 「咱們 (為 他 ) 取 名 吧 !」,6
67,"liaka puzah lia ki taubaret, tata iu apu",然後 鄰居 的 阿姨 和 阿婆 來 了,6
68,taukua iu baabah saw mahatan iu hatan,長官和許多人笑了又笑,6
69,uhuni a dali ka nita iu razem.,今天 是 咱們 的 新 年,6
70,Itih ka mikaden ka ini mupuzah,"Itih 生 病 , 她 就 沒 來",6
71,kaxu di dini.,到 這 兒,6
72,isia liaki Awi ka pikadun lia.,那 時 Awi 出 發 了,6
73,pikadun liaki Awi,Awi 啟程 了,6
74,pikadun dadua magizem mamaleng,全 體 強壯 的 少年 都 出 發 了,6
75,palkadunay masu’ay wazu isia lia'i.,他 要 出 發 並 帶 狗,6
76,pikadun kaxu kawazawat daran.,他 啟程 走 到 半路 上,6
77,kahuy saringa,木耳,6
78,kaidida,在 那 邊,6
79,kaidini,在 這 裡,6
80,kaiziza,那邊,6
81,imini ka maasikakialah aideman.,這 是 裝飾 寢室,6
82,kalapu asuen di naki a xuma.,我 就 把 他 抱 回 家 了,6
83,mukalapu rakihan ki ina.,母親 抱 著 小 孩,6
84,mukalapu kahuy yaku.,我 抱 木柴,6
85,dusa saw makinuanualet musa’ ay mukalapu rakihan,兩 人 趕快 去 抱 孩子,6
86,usa kalapu’i ki rakihan!,去 抱 小 孩,6
87,kalapu’en nia sen di nisia dakal lia.,被 抱 在 他 的 胸 前 了,6
88,kalapu’en ki rakihan.,孩子 被 抱 起 來,6
89,liaka kalapu’en ni Kaidan lia,Kaidan 把 他 抱 起 來 了,6
90,bulayan kalapu’en naki di babaw parin,我 把 鋼 提起 放 在 灶 上,7
91,mukalawa amulu lia aku.,我 接受 柚子 了,7
92,kalaxa alaw.,魚籠,7
93,takalaxi a saw.,騙子,7
94,kalaxi yaku siw.,你 騙 我,7
95,kalaxi. isiw naki a pinarisan.,不 對 ! 你 也 是 我 生 的,7
96,kalimeken,貪吃,7
97,kaligigihan,怕 、 呵 、 癢,7
98,kalihatanan,愛 笑,7
99,kali‘angidan,愛 哭,7
100,kalixideman,"睏, 想睡",7
101,kailsipisan,起 和 雞皮 疙瘩,7
102,kalu sasiper mara ualaw,用 網 捕 魚,7
103,sapakan rakihan,母親 用 鍋 煮 魚 給 小 孩 吃,7
104,rakihan kalu kakazip meken sumay,小 孩 用 筷子 吃 飯,7
105,ina kalu sapa mapa rakihan.,母親用揹巾揹小孩,7
106,ina kalu tadaw mutahay alaw.,母親 用 刀子 殺 魚,7
107,kalu’un imini muburiak laladan.,用 這 個 做 桌子,7
108,kalu’un tadaw mutahay alaw.,刀子 用 來 殺 魚,7
109,kani a alaw!,吃 魚 !,7
110,kinan saw ki alaw,魚 有 人 吃 過,7
111,kakanay sumay yaku,我 要 吃 飯,7
112,Watan ini kaaken alaw,Watan 沒 在 吃 魚,7
113,kaaken sumay yaku,我 正在 吃 飯,7
114,yaku kaaken dukul,我 在 吃 芋頭,7
115,riak a kakanen,"美 味 , 好 吃",7
116,kakanen naki ki isia aalaw,那 魚 要 給 我 吃,7
117,meken siut ki rakihan,小 孩 吃 了 小 酸 桔,7
118,meken siw sumay lia?,你 吃 飯 了 沒 有 ?,7
119,yaku meken dukul,我 吃 了 芋頭,7
120,nah meken aku,我 不 要 吃,8
121,meken asay pai siw?,你 吃 什麼 ?,8
122,ini riak a meken,不 好 吃,8
123,mineken di asai pai siw,你 在 哪裡 吃 過 ?,8
124,mineken di kasibadan yaku,我 在 學 校 裡 吃,8
125,mineken asai pai siw,你 吃 了 什麼 ?,8
126,mineken sumay yaku,我 吃 了 飯 了,8
127,kanen naki dadua lia ki dadas,地 瓜 都 被 我 吃 完了,8
128,makiakanen lia ki Watan.,Watan 餓 了,8
129,makiakanen siw?,你 餓 了 嗎 ?,8
130,makiakanenatial,肚子 餓,8
131,pakan rakihan ina,母 餵 子,8
132,ukuazixa ina pakan rakihan dukul,昨天 母親 餵 小 孩 芋頭,8
133,paakanakani!,大 家 吃 吧!,8
134,Awi ka pinakan durun ni tata,Awi 被阿姨 (後 母 ) 餵食 米糠,8
135,ina mutalek alaw sapakan rakihan,母親 煮 魚 給 小 孩 吃,8
136,ina mutalek dadas sapakan rakihan,母親 煮 地 瓜 給 小 孩 吃,8
137,pakanen lamtak ka meken ki rakihan isia,"餵 他 飯 湯 , 那 嬰兒 也 吃 了",8
138,minupakan rakihan lia imisiw,他 餵 了 小 孩 了,8
139,saakan sumay salaman,飯碗,8
140,"alu, takazipi saaken!",來! 咱來夾菜吧,8
141,wailutakani!,咱們 立刻 吃 ! 趕緊 吃 !,9
142,saw ka takan u sumay.,人 是 吃 飯 的,9
143,adang dali liaka maakuas kani Atun,有 一 天 他 們 對 Atun 說,9
144,babaw mataru a takarat,坐 在 上 面 的 貴賓,9
145,maxatakarat,當 老師,9
146,manakakaraw,洗 腳,9
147,pakaraxi ki hinis,放鬆 心情,9
148,ini makare,不 聾 的,9
149,tikakariang ki rakihan,小 孩 赤 裸 著 (身體),9
150,makarid a bakung,"口 渴 , 喉 乾",9
151,mamais mamaleng paxukarit.,夫妻 在 做 園子,9
152,mukusa maasikarumay di nimisiw a areten lia,他 進 入 他 的 村莊,9
153,papasikarumi!,拿 進 屋 裡 !,9
154,masukarum la di binayu.,進 入 山 裡 了,9
155,tasikarumi mamais a xuma!,入 贅 女 家 吧 !,9
156,isiw ka kasayan mausa’ay di Arux?,你 何時 要 去 大 社 ?,9
157,kasayan nahani Puri pai siw?,你 何時 要 來 埔里 ?,9
158,kasayan ka nisiw a masiatu’ay?, 你何時要穿衣,9
159,nukuasayan a parisan?,你 何時 生 的 ?,9
160,nukuasayan pinarisan pai siw?,你 何時 生 的 ?,9
161,nukasayan mupudah?,何時 來 了 !,9
162,ukassayan ka nisiw a minasiatu?,你 何時 穿 衣 的 ?,9
163,katuri na yaku!,請 為 我 理髮 !,10
164,isiw usa katuri ka rakihan imiaiw,你去幫小孩剃頭,10
165,minukatur lia ki rakihan lai yaku,我剃了小孩的頭,10
166,yaku pakatur punu,我 在 剃頭,10
167,usa pakaturi ni misiw,去 讓 他 剃頭 !,10
168,pinakatur,已 理髮,10
169,"haw, takaturaw naki","好 , 讓 我 來 剃 !",10
170,yaku ka mukawas pazih a kakawas,我 說 巴 宰 話,10
171,aubin dali pirulik a kakawas,後 來 (違背) 口頭 約 定,10
172,yaku maakakawasay uhuda pasukuan,我 將 要 講古 代 的 故事,10
173,maakakawasay uhuza a saw,要 講古 時 候 的 人,10
174,mabaza mukawas pazih a rahan siw?,你 會 說 巴 宰 話 嗎 ?,10
175,imini ka nisiw a kinawas,這 是 你 說 過 的,10
176,musay maakawas miruma liaku naki a pinarisan a ina,"要 去 告訴 她 , 我 找 到 我 的 生 母 了",10
177,ki takarad a isia maakawasi,醫生說了,10
178,maxamaakawasay “mausay pai mu?”,要 引起 對 話 :「你 們 要 去 ?」,10
179,pakawasi pazih a kakawas!,說 巴 宰 語 吧 !,10
180,"na riaxen ka, alu pakawasi yaku",找 到 時 來 告訴 我,10
181,imini ka nisiw a pinakawas,這 是 你 說 過 的,10
182,adang a kawas,一 年,11
183,adang kawas adang kawas,一 年 過 一 年,11
184,dusa kawas,二 年,11
185,nukuadah a kawas,去 年,11
186,"mamah ka xaseb a kawas, suazi ka turu a kawas","哥哥 五 歲 , 弟 弟 三 歲",11
187,xaima kawas imisiw?,他 幾 歲 ?,11
188,xaima kawas pai siw lia?,你 幾 歲 了 ?,11
189,babaw kawas,天 空,11
190,mahabahar kaaw babaw kawas,飛 到 天 上,11
191,haapet meken kaxang?,要 吃 蟹 嗎 ?,11
192,mukakaxaw,搔 (自己) 癢,11
193,papaluzuax ki nami kaxu hanisay sahan,我們要傳承數千(年),11
194,makazang a lapuat,貴的番石榴,11
195,marikazay,動,11
196,parikazayi!,使 動 !,11
197,marikazay di daxe ki kui.,蟲 在 地 上 動,11
198,rahuay ka mikita kaidi ruburubu ka hada marikazay a axay haimisiw.,老鷹 看 見 下 面 有 什麼 在 動,11
199,marikazay a dalum imini lia.,水 在 流動 了,11
200,kakazip saakan sumay.,吃 飯 用 的 筷子,11
201,Abuk ka kalu kakazip meken sumay,Abuk 用 筷子 吃 飯,11
202,kazibi!,挾(菜)!,11
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,,,
332,,,
333,,,
334,,,
335,,,
336,,,
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
343,,,
344,,,
345,,,
346,,,
347,,,
348,,,
349,,,
350,,,
351,,,
352,,,
353,,,
354,,,
355,,,
356,,,
357,,,
358,,,
359,,,
360,,,
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
397,,,
398,,,
399,,,
400,,,
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
414,,,
415,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
427,,,
428,,,
429,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,,,
455,,,
456,,,
457,,,
458,,,
459,,,
460,,,
461,,,
462,,,
463,,,
464,,,
465,,,
466,,,
467,,,
468,,,
469,,,
470,,,
471,,,
472,,,
473,,,
474,,,
475,,,
476,,,
477,,,
478,,,
479,,,
480,,,
481,"duila lia mata di zaxizaxi, mata di dapidapi, mata raxuraxung","走向很崎嶇的路, 沿著懸崖並涉河",26
482,pasaken daya ka mata di amisan,到 東方 再 轉 向 北,26
483,"naki a baba isia ka, mausay patilekat murazaw mata dida","我舅舅要去放陷阱, 打從那裡經過",26
484,mata di abu ka ini muriux lia,有 灰 的 地 方 無 法 滑行 了,26
485,"mitalam iu daran ka, pata di daya!",要 跑 的 路 線 是 向東 !,26
486,matiluxut,捕 鹿,26
487,pati’alaw,捕 魚,26
488,matutilikat,設 陷 陸,26
489,matubaru ,生 私生子,26
490,matupang”,( 味 ) 澀,26
491,matu’asa’asay,無 聊,26
492,matu’asay hinis,心中 異樣,26
493,matu’azang,,26
494,maxadaxang,流 汗,26
495,maxarese,流淚,26
496,maxatunu,流 鼻 水,26
497,maxadamu,流血,26
498,maxa’apaus,,26
499,maxamangit,似乎 在 哭,26
500,maxakela,想,26
501,maxatulatula,遊 手 好 閒 、 當 小 混混,26
502,maxariak,富有,26
503,,,
504,,,
505,,,
506,,,
507,,,
508,,,
509,,,
510,,,
511,,,
512,,,
513,,,
514,,,
515,,,
516,,,
517,,,
518,,,
519,,,
520,,,
521,,,
522,,,
523,,,
524,,,
525,,,
526,,,
527,"ini riak ka imini, tia di adang malaleng","此 處 不 好 , 要 到 別處 去 住",28
528,adang a dadial mupuzah dini imisiw,他 偶而 來 此,28
529,adang a dali mangit lia,哭了 一 整 天,28
530,miaadali a yaurun,每 天 下 十,28
531,matu’adang a hinis yaku,我 改變 主 意,28
532,ademi rahan!,閉口 !,28
533,adem nisiw,閉 上 你 之 口,28
534,adeng a saw,重 聽 的 人,28
535,asai waadeng pai siw?,你 為 什麼 捨不得 (不 讓 步 )?,28
536,mader a daxe,硬 土 、 堅 硬 的 士 地,28
537,"adu’i, aunu aubin a saw kakanen",放 著 ! 留 給 後 來 的 人 吃,28
538,inaduan arim a kalaha,放 桃 子 的 籃子,28
539,haiki kinius rahuay adu sen di naki pinaxuruma dadas rabax a babaw.,他 似乎 被 老鷹 挾 來 放 在 我 所 種 的 地 瓜 葉 上,28
540,aduun naki lia,我 放 好 了,28
541,pinaxuruma dadas rabax babaw adu’en dida ki rakihan.,把 小 孩 放 在 〈 他 ) 所 種 的 地 瓜 葉 上,28
542,tumala maluhusu maakuas Atun ka adu’en di hinis apu a kinawas a rahan.,"聽到 那 邊 的 對 話 , 阿 敦 把 老太婆 說 的 話 放 在 心裡",28
543,madu aku dini,我 放 在 這 兒,28
544,,,
545,,,
546,,,
547,,,
548,,,
549,,,
550,,,
551,,,
552,,,
553,,,
554,,,
555,,,
556,,,
557,,,
558,,,
559,,,
560,,,
561,"hawi lia, kialih kialih mariwiriw lia",Bf ys > ORR CAL) eee,30
562,maxakialihay mikita,BS2jTAA,30
563,alipuhi ki laladan!,拌 落 果 上 的 灰塵 吧 !,30
564,alu pakawasi yaku,來 告訴 我 !,30
565,usa aral nisiw a ina alu dini a malaleng,去 帶 你 的 母親 來 這 兒 住,30
566,"alu, takazipi saaken!",AK > HEP PRERNEL |,30
567,"na haapet mikita yaku a saw ka, alu binayu a malaleng ka kita yaku.","偷 若 要 看 我 的 人 , 來 山上 住 就 看 得 到 我",30
568,yakuuTaw ki minalup.,我 和 Taw 打 獵 了,30
569,ayan ka niam a pinaturay.,ayan 是 我 們 的 傳統 歌謠,30
570,niam arakihan.,我 們 的 孩子,30
571,baxal yami aunu dali uhuni kakanen niam!,給 我 們 讓 我 們 今天 吃 !,30
572,mukawas yami,我 們 說 話,30
573,abasan suadi mausay ha yami.,我 們 姊妹 (或 兄弟 、 姊 弟 、 兄 妹 ) 要 去,30
574,maki yamian malaleng,要 跟 我 們 住,30
575,alu yamian,來 我 們 這 兒,30
576,naki a aba mausay mikiliw saw puzah di yamian.,PAY AC BE A REAR,30
577,alu kita’i yamin!,來 看 我 們 吧 !,30
578,imu kikita yamin,你 們 在 看 我 們,31
579,imisiw makawas yamin,他 在 說 我 們,31
580,naki a ina mamah mubaxa yamin tula rumut,我 媽 的 哥哥 給 我 們 鰻魚 肉,31
581,mausay hatyami maxadaxe Saraumaw.,我 們 要 到 Saraumaw ( 梨 I 山 ) 去,31
582,dineken namisiw hai siw,你 是 他 們 撿 來 的,31
583,naki a tata ka mukusa di namisiw a reten maakuaslia.,我 舅媽 去 他 們 村 中 談話 了,31
584,yamisiw dadua nahani ay,他 們 都 要 來,31
585,ita tiadi yamisiwan,咱們 去 到 他 們 那 裡,31
586,"Atun maara’ay mamais, yaku ka mausay di yamisiwan maabezebet.",PCR ARK RBA HAA,31
587,ana kizex! ituku dini!,別 站 著 ! 坐 這 兒 !,31
588,ana meken sumay!,別 吃 飯 !,31
589,ana mudaux inusat!,別 喝 酒 !,31
590,ana mubaket rakihan!,別 打 孩子 !,31
591,ana mataru wa rahan!,別 大 聲 !,31
592,pikaden ka ana mupuzah!,生 病 就 別 來 !,31
593,ana di dini midem!,別 在 此 地 睡 !,31
594,ana meken dukul!,別 吃 芋 !,31
595,mudan ka ana mukusa,FRY REE,31
596,manat hapuy,著 火,31
597,manat bahah,ARE,31
598,kali’angidan ka maxiarese,愛 哭 鬼 流淚,31
599,,,
600,,,
601,,,
602,,,
603,,,
604,,,
605,,,
606,,,
607,,,
608,,,
609,,,
610,,,
611,,,
612,,,
613,,,
614,,,
615,,,
616,,,
617,,,
618,,,
619,,,
620,,,
621,yaku ka paudah di maanu,我 從 遠 處 來,33
622,"miitul, mamaleng ka mukusa mapa anu mamais",,33
623,maanu a babaw binayu kikita’en a ilas,,33
624,musay di maanu a binayu lia,要 去 深,33
